speech,class
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
There are also many Italian Muslims why we stop them from practising their beliefs? Why we give this opportunity only to Catholics? Why mosques bother you? And then I assure you that the number of mosques is negligible compared to the number of Catholic churches.,1
"In Italy the highest number of rapes is commited at home, from friends, partners or relatives.",1
It seems to me rather that is taking place a real invasion of fake news.,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
Muslims hate Christians. They want to kill all of us.,0
"Careful don't trip over, there is a risk being blind;).",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Good evening, I would be interested to read articles and studies on the Arab plan to conquer the West, could you add me links? Thank you.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
I do not think that there have been cases of Arabs who have attempted to fill positions of some power in Italy. So why do you say that they want to control us?,1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Terrorism cannot be fought with violence.,1
Do you ever met a Muslim who has told you to hate Christians?,1
"Violence against women has always been a serious problem, which affects people of all ethnic groups, cultures and religions. It is certainly not a typical Muslim phenomenon.",1
It does not seem to me that there are so many mosques in our cities. Could you provide me some data about their number?,1
"There are Arab terrorists, as there are English terrorists, Italian and French. These stereotypes won't help us to fight terrorism.",1
We live in an increasingly open and multicultural world. Everyone must make an effort to try to live together peacefully.,1
"They began to build mosques everywhere, and so they compete with our churches.",0
Muslims hate Christians. They want to kill all of us.,0
"You cannot discuss while generalizing a population, the cases should be analyzed individually.",1
The Muslims are all fanatics and want to rule in our home!,0
Violence is always wrong. Also it's repudiated in our constitution. This post is therefore contrary to the principles at the basis of our state.,1
Fanatics megalomaniacs. Don't delude you to find cowards waiting for you! We will pass on your dead body and also with great pleasure.,0
Not all Muslims impose the veil on women.,1
"A person living in conditions of deep social problems and emigrated to another country exports its tradition and religion, and want to maintain them, exactly as the host country wants to maintain its own. This does not mean submission, it means coexistence, exchange, mutual enrichment.",1
Nothing is achieved with violence. We must be able to dialogue and find a point of cohesion between the two religions. Fanaticism is not true Islam. The Muslims who arrive in Italy are the first to be persecuted by the real extremists.,1
Islamics must adapt to our culture and not viceversa.,0
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
Could you please explain your theory on this subject? How can you make such an act?,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
Responding to hatred with hatred is self-destructive.,1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"I understand the fear that all these dramatic events in recent years have caused, but you can never respond to violence with more violence or generalizations of this type.",1
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Good evening, so you're telling me that you would burn with napalm Arab children?",1
This statement is very cruel. Can you tell me if you strongly believe in this statement? Where does all this anger come from?,1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Terrorism is a widespread phenomenon in the world, among Arab, European, American and many Asian and African peoples. It is not possible to consider all Arabs terrorists. There was terrorism also in Italy: are all Italians terrorists?",1
Napalm. And they are the terrorists?,1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
Napalm and weapons do nothing but generate hatred and hatred promotes terrorism. The answer should be just the opposite: try to resolve conflicts.,1
Do you really think that they have so many bombs?,1
"The respect for each other born like this, accepting the other needs. This will stop fanaticism.",1
How do you figure this invasion?,1
"No one wants to impose anything on anyone. Arabs living in Italy want to live in peace, respecting the law and all citizens, but why do you have this huge desire to find an enemy?",1
Generalizing never brings anything good: the violent are just a fraction of all Muslims.,1
The beasts.,0
Islam is a religion manipulated by terrorism that uses it as a shield. The same thing happened in the years of lead in Italy with terrorism that exploited political ideologies and parties.,1
"Hello, actually the number of Muslims in Italy amount to just under 5% of the total population: do you believe that it is possible to talk about replacing?",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"The majority of immigrants are Muslims. It's useless to deny that this invasion, certainly peaceful, will bring in our society the Sharia. Glad you, if sharia represents culture and enrichment!",0
"In this world we are all men, no one is an animal. Muslims are people like us and should be treated as such.",1
"I am convinced that, except for a few bad apples, even they want to live together peacefully.",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"I do not think that talking about invasion is correct. Most migrants that arrive in Italy are distributed in the rest of Europe, where Italy is second last in number of immigrants for inhabitant.",1
"The fanatics represent only a small part of the Muslim population. If you do some research, you will notice that Islam preaches peace. So, why commit violence on innocent people?",1
School is a laic place. The crucifix is,1
"Hello, the case to which I believe you refer would not be absolutely a defined choice based on religious reasons, but for food health issues.",1
"The majority of immigrants are Muslims. It's useless to deny that this invasion, certainly peaceful, will bring in our society the Sharia. Glad you, if sharia represents culture and enrichment!",0
"The Arabs are several hundred million if they were all terrorists they would have already destroyed Europe. The terrorists are a minority, which often damages other Arabs: in the attacks committed by Arabs, there have been many more Arab victims than European victims. Much is said about the terrorist attacks in Europe, but there are many more attacks in Asia and Africa.",1
"Statistics say that Italy is last in the list of countries that welcome migrants and refugees with only 2.4 people per 1,000 inhabitants. Insert links, for example https://www.internazionale.it/reportage/annalisa-camilli/2018/06/18/immigrazione-luoghi-comuni-italia.",1
"History has taught us that violence brings nothing but more violence, why do we have to make a similar action?",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Did you know that the only terrorist attacks in Italy were made by Italians?,1
Could you give me a source at the base of a such strong statement? Because to me it does not appear that there is this trend going on.,1
"Better a smart bomb. Oh, no. That threatens to hit you.",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
A real Islamic invasion is taking place.,0
Arab countries have always condemned terrorist acts.,1
"The rapist is a typical Italian product, I would say.",1
"Arabic, Islamic and terrorist are very different terms that we must learn to use. Arab: inhabitants of Arabia, Syria, Lebanon, Jordan and Iraq. Muslims: those who profess the religion of Islam Terrorists: Islam extremists.",1
"Even in Europe, there is terrorism, what do we do? Should we throw napalm on us?",1
"Hello, could you give me a figure on the number of Muslims in Italy?",1
In today's world we do not need more violence. Do you believe strongly in this statement? Why?,1
"Hi, in Italy freedom of religion is a fundamental principle: no one has to adapt to a culture, but you must have the right to profess your faith in full freedom and respect for each other I think.",1
Why should we make a war when we could be open for dialogue?,1
"Personally I'd like to deepen the Islamic culture, as well as others with which we are and will increasingly be in contact. I think it would be helpful to be all less ignorant in the interests of peaceful coexistence.",1
"The majority of immigrants are Muslims. It's useless to deny that this invasion, certainly peaceful, will bring in our society the Sharia. Glad you, if sharia represents culture and enrichment!",0
"Currently returns consist of delivering to the migrant an expulsion paper that orders him to leave the country on their own. Of course, nobody does it. This is because we do not have the resources to send them away, so at the moment returns do not seem to be the solution to the migration phenomenon.",1
"Actually, terrorism is not an Islamic phenomenon: in America, there is an attack every day, not in the name of Allah.",1
Crime does not depend on nationality and religion.,1
"They began to build mosques everywhere, and so they compete with our churches.",0
Based on what you say that the Arabs want to command at our house?,1
There is no contest between mosques and churches.,1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
"It seems to me there is a lot of hate in your comment, where did it come from?",1
I would prefer the Martians than these fucking Muslims.,0
"Try to see how many churches there are in Italy and how many mosques. If you lived in Dubai, and the situation was reversed, wouldn't you want that there was at least one church?",1
"Although there are certainly Muslims who have committed horrendous crimes, I find it unfair to generalize and condemn an ",1
Muslims have no intention of returning to the Middle Ages: the integralists are a minority.,1
"Competition is good for the free market, perhaps with more choice, we earn heaven.",1
"Generalizing has never led to anything good. I remind you that even in Italy we have had our terrorists. Saying that all Arabs are terrorists because of few individuals is like saying that all Christians are terrorists of the Red Brigades at home, for example.",1
The explosion of an atomic bomb would lead to catastrophic consequences that would affect everyone. So why should we throw it? And especially why punish a population-based only on prejudices? Wouldn't be better to first talk and understand really who is a certain type of person?,1
"To me no Arab has ever imposed anything. Next week I will see my friend Amsa, who is senegalese, to exchange Christmas greetings.",1
Napalm. And they are the terrorists?,1
The Arabs are a people rich in culture and history and also in contradictions as the so-called Westerns and inciting hatred is uncivilized and blind.,1
Your statement is a lawsuit.,1
Could you show me with precision at what diseases do you refer?,1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Unfortunately, violence against women has no nationality, color or religion. It must be fought in any case, not only if it is committed by a Muslim.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
And war it is.You don't pass over here troglodytes.,0
The beasts.,0
"Although there are certainly Muslims who have committed horrendous crimes, I find it unfair to generalize and condemn an ",1
"Who are you to judge in such a merciless manner, God Almighty?",1
Muslims hate Christians. They want to kill all of us.,0
"I do not think that people requesting political asylum in Italy come here for no reason. They flee because in their homeland there wasn't a situation that favoured their stay. We cannot talk about a replacement because the Muslim population represents only a small part of the total Italian population. Men do not hit women, and only the most radical forms of Islam impose the burqa.",1
No Arab has ever tried to impose their religion to an Italian.,1
"They began to build mosques everywhere, and so they compete with our churches.",0
I do not see the link between Islamism and diseases.,1
"They began to build mosques everywhere, and so they compete with our churches.",0
Fanatics megalomaniacs. Don't delude you to find cowards waiting for you! We will pass on your dead body and also with great pleasure.,0
They are replacing us in our house! They should remain at their home to put on the burqa and beat their wives.,0
"The image that the media give of Islam, as a warmongering religion, which seeks to conquer the West and to fight Christians in the world, is false and instrumental. It was clearly said to Vatican Radio by the great imam Ahmad al-Tayyib, recently received from Pope Francis: 'Islam has nothing to do with terrorism. And those who kill Muslims and even kill Christians have misunderstood Islam texts either intentionally or through negligence. ' the University of Cairo that he heads is committed to clarify the concepts of the Koran, which are diverted from armed movements that use violence and terrorism, claiming to work for peace. 'we cannot blame religions,' added the Grand Imam, 'because of the deviations of some of their followers.'.",1
"Let's hope they call good architects, my parish seems a huge garage of concrete.",1
"Well, you want to send in the middle of the sea poor persons, who hates whom?",1
We Italians would never want to be generalized with the crimes committed by our fellow mobsters. Why should we do the same with foreign citizens or of other religions?,1
"To my knowledge, It does not result to me that crucifixes disappeared in schools.",1
"In the Koran, there is not even a word that can legitimize or at least justify terrorism. I invite to read it to enrich the general culture.",1
A real Islamic invasion is taking place.,0
And based on what do you say it?,1
"They began to build mosques everywhere, and so they compete with our churches.",0
I wish all of them would die.,0
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"They began to build mosques everywhere, and so they compete with our churches.",0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"I would not call them troglodytes. Think that Arabs are the founders of algebra, chemistry and modern medicine.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Good evening, send them back home for what accomplished crime? Freely practice their religion?",1
Better that people can pray in mosques open to the public rather than in secret.,1
"Not all Muslims are potential terrorists, Islam and democracy can get along very well.",1
"They began to build mosques everywhere, and so they compete with our churches.",0
"Generalization is always misleading. Arabs are not all terrorists, some of them are; as if someone in the 70s said that Italians were all members of the Red Brigade. Battisti, who in recent days has been arrested and others were, but they were still a handful of people when compared to the number of inhabitants of Italy, so we are wrong every time we throw the baby out with the bath water.",1
Selective Napalm? We throw it over our city and we hopeit will hit the Arabs?,1
"Good evening, given that not all Arabs are of the Islamic faith. In any case, how are they trying to impose their religion?",1
"The majority of immigrants are Muslims. It's useless to deny that this invasion, certainly peaceful, will bring in our society the Sharia. Glad you, if sharia represents culture and enrichment!",0
"Better a smart bomb. Oh, no. That threatens to hit you.",1
Islamics must adapt to our culture and not viceversa.,0
Why? Have you bought the Italian territory? And all the resources that we steal to their territories?,1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
"A criminal should be treated like a criminal, a person - even if with a religious belief different from mine - must be respected as a person.",1
Throwing the baby out with the bath water creates a useless hate.,1
"If it was true, we should rather be concerned to defend these women.",1
"It does not seem to me that most Muslims hate Christians: only a fraction kills for the faith, but can we consider them truly religious?",1
"Hello, actually the data show that the majority of immigrants in Italy are Christian-Orthodox and non-Muslim faith: the situation is very diverse and I do not think we can speak of invasion when the number of Muslims in Italy (including Italian citizens) is just under 5%.",1
"Although many newspapers tend to create this impression, non-tolerant Muslims are very few. Most do not want to impose their religion.",1
Do you not believe that everyone should be free to practice their religion?,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Hi, I do not think that those who profess the true Muslim faith can admit violence against women or non-respect for freedom of religion. The Koran makes no references in this sense, those who act in this way are doing it going against the same provisions of belief that say to be inspired.",1
Muslims hate Christians. They want to kill all of us.,0
"Do you think that it's plausible to think that our country in a few years will be controlled by Muslims, that they will impose us the way in which they think, dress, live .?",1
Aren't you the one who hate Muslims?,1
Islamics must adapt to our culture and not viceversa.,0
"The last bastion that we will have, will be the atomic bomb.",0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Generalization is always misleading. Arabs are not all terrorists, some of them are; as if someone in the 70s said that Italians were all members of the Red Brigade. Battisti, who in recent days has been arrested and others were, but they were still a handful of people when compared to the number of inhabitants of Italy, so we are wrong every time we throw the baby out with the bath water.",1
Where did you get data to confirm this statement?,1
"They began to build mosques everywhere, and so they compete with our churches.",0
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
"They began to build mosques everywhere, and so they compete with our churches.",0
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
"Responding to violence with violence is never the best answer. And history should teach us. Also, it would be good to do not throw the baby out with the bath water. Terrorism is not just a given geographic or ethnic belonging.",1
A real Islamic invasion is taking place.,0
"They began to build mosques everywhere, and so they compete with our churches.",0
"They want to conquer the world, we have to defend Italy by blowing them up before they blow us up.",0
First Italians even in raping women?,1
"We must send home (perhaps not on the boats) who violates the law: this according to the Italian constitution, which provides rights also for foreigners.",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Answering to violence with violence is not a solution.,1
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
We bombard also Lombardy because there are corrupts and Campania because there is the Camorra? For a few guilty we cannot generalize.,1
"We rape our women, actually.",1
Nothing is achieved with violence. We must be able to dialogue and find a point of cohesion between the two religions. Fanaticism is not true Islam. The Muslims who arrive in Italy are the first to be persecuted by the real extremists.,1
"It does not appear to me that so many mosques have been built in recent years, yet it would be a better way also to isolate the extremists.",1
The majority of immigrants in Italy is Catholic.,1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
"Rape and violence against women exist, unfortunately, in all the world, regardless of culture or geographic location.",1
"Excuse me, but why should the Arabs want to conquer us with violence and bombs?",1
"Watch out historical recurrences, this time blast-furnace will light!",0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Good evening, think that the figures show that 4 of 5 women are raped by Italians. Can you bring data to support his theory?",1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"It's a shame that there is no longer the crucifix in school, a lack of respect.",0
"Islamists represent a very low percentage of the Italian population, there are 10 mosques compared to more than 66,000 churches, so what data are you referring to?",1
These animals.,0
"Violence against women is mostly domestic, made by Italian close to the victims.",1
"If you really want to send them back, it costs less a plane ticket than a trip on the boat. Do you know that only the wealthiest can come to Italy, many of whom are graduated from university? Try to imagine if the same treatment was reserved for our 'brain-drain' abroad.",1
"Our whom? If it relates to the Italian women I have and I do not feel safe in reading your words. The problem is not Muslims, but the too local mentality in which man feels the woman his property.",1
Christian churches can establish peaceful relations with Muslims. If we do not learn to talk we can never get to the peaceful co-existence.,1
"We will suffer from hunger if the economy collapses, certainly not for a religion.",1
"The vast majority of Muslims is simply interested in practicing their religion peacefully, we should not confuse them with the few extremists.",1
"They began to build mosques everywhere, and so they compete with our churches.",0
"I did not know the Islamists were all sick, what disease is this?",1
They are replacing us in our house! They should remain at their home to put on the burqa and beat their wives.,0
"Yeah, because here in Italy no one has ever beat his wife .",1
I would prefer the Martians than these fucking Muslims.,0
"Arab is only a generic word precisely as Europeans or Americans that does not consider the many differences existing and in any case, sow fear is the true gesture that should be condemned.",1
"The majority of immigrants are Muslims. It's useless to deny that this invasion, certainly peaceful, will bring in our society the Sharia. Glad you, if sharia represents culture and enrichment!",0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Many of the recent Islamist terrorist attacks were not made by Arabs. For example, Turks, Iranians, Pakistanis, Bangladeshis etc. Are not Arabs.",1
"They began to build mosques everywhere, and so they compete with our churches.",0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Watch out historical recurrences, this time blast-furnace will light!",0
"A friend of mine married a Muslim man. He is always so sweet, takes her hand across the road, he opens her the door when entering a room. Gestures that I hardly see in all men. He will not be better than others because he's a Muslim, what I'm certain about is that he is not even worse because he's a Muslim. Let's stop identifying evil in such a banal way.",1
What kind of changes do you fear that could happen?,1
"Hi, do you think that it's really possible to talk about substitution when the number of citizens of the Muslim faith (including Italian) does not even reach 5% of the total population?",1
I do not feel controlled by anyone. What about you?,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"It seems that there are always more people that believe that Islam is directly tied to terrorism. Actually, this belief is the result of a hard to kill stereotype that damages the dignity of Muslims and their religion which is actually like ours, a religion that has like basic principles the love of God/Allah and the brotherhood among men.",1
"Good evening, so you're telling me that you would burn with napalm Arab children?",1
"They began to build mosques everywhere, and so they compete with our churches.",0
"Do not you think it is unfair to blame an entire category of persons defined by you 'Arab' for the actions of a few? Crime and terrorism, unfortunately, have always existed and always have different colours and ethnic groups. There are Arab terrorists as Italian terrorists.",1
"Although in Italy we have tens of thousands of Muslim immigrants, I do not remember many cases of bombs on our territory. Do you have different information?",1
Criticism based on prejudice and ignorance.,1
"I do not believe that they are replacing us, because in Italy the Islamic religion population is only 4%. Women can choose to wear the veil or not, and only the most radical forms of Islam require the use of the burqa.",1
History teaches that Christians wanted to impose their religion at the home of others.,1
"They began to build mosques everywhere, and so they compete with our churches.",0
Do not you think you're exaggerating?,1
"Arab population is full of differences inside itself, they are not all terrorists.",1
No one wants to have more places of worship of others. There are citizens who want a place of worship close to home.,1
And war it is.You don't pass over here troglodytes.,0
"Eye for eye, tooth for tooth and are we going back to the Middle Ages? Who commits an act so heinous must pay his debt, in prison, according to the law. You know that if any Italian woman beaten and raped by her husband, the partner and sometimes even by his father, would denounce the violence, prisons would be full of italian men. You've never seen 'Amore Criminale'? It is a great program that speaks about the subject, taking the cue from the most egregious cases, look for it on 'Raiplay'.",1
Everyone must be able to express their faith.,1
I am not aware that they have been removed. From what can you do this statement?,1
"A rapist must be arrested as a rapist, and in any case, rapists are almost always Catholic.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Watch out historical recurrences, this time blast-furnace will light!",0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
The public education should be laic in respect of all religious confessions.,1
Animals for what reason?,1
"In what way they want to impose their religion? We are rather seeking to impose ours, not having any rights.",1
"Men's violence against women is a problem, but not connected in any way to religion or colour of skin. As not all men are rapists. No generalization is ever 100% true.",1
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
According to what do you state that Arabs want to command in Italy?,1
"In Italy we have had no recent attack by Arabs. Moreover, even in European countries where these despicable events took place, it was not an action of conquest, but only terrorist actions.",1
"Fanaticism is always dangerous, but you do not fight, when there is, with more fanaticism.",1
"Muslims don't hate Christians, generalization is never good!",1
Do you know by chance the anti-terrorism or prevention of radicalization policies? It's the West that creates the best conditions for the proliferation of extremism.,1
So you also agree with castration of all the husbands / boyfriends / violent fellow that have Italian origin?,1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
I wish all of them would die.,0
I think it is the opposite. If the majority of Muslims feel accepted in their demands there will be less space for the fundamentalists.,1
Fanatics megalomaniacs. Don't delude you to find cowards waiting for you! We will pass on your dead body and also with great pleasure.,0
"Historically the most violent, bloody and oppressor population has been the Europe one, so I would say that we cannot generalize completely.",1
"Hi, what do you mean for Muslims? Do you really consider all on the same level or it wouldn't be better to differentiate between those who profess their faith while respecting the faith of the other and who does not follow the instructions of their own faith?",1
"Muslims in a few years will impose their beliefs, and I want to see all the radical-chic bleeding hearts that will have to wear the veil!",0
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
Muslims hate Christians. They want to kill all of us.,0
Muslims hate Christians. They want to kill all of us.,0
And the cases of violence made by Italians? How do you explain them according to your logic? Do we also castrate them?,1
"The Quran explicitly says that the principles of Islam can only be transmitted without using force. So I guess you are mentioning the extremist forms of Islam, which are a minority compared to the whole of religion. We cannot send back migrants because this action would go against our Constitution, which says that you must receive asylum seekers if in their countries the conditions are such as dangerous to endanger them.",1
"The most severe forms of violence are made by partners, relatives or friends. The rapes are committed by partners in 62.7% of cases, in 3.6% and 9.4% by relatives of friends. We are talking about Italians.",1
"Not all Muslims are against Christians, the ones you mention are only a small part that does not represent the Islamic religion.",1
"Bombs on you, bad infamous people (enough is enough stinky)",0
Have you ever felt that soon it will be necessary to convert to Islam to keep living in our society?,1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"The real oppression is to forbid a person to profess their religion, as sanctioned in the Universal Declaration of Human Rights. The veil is not imposed by Islam, at most by oppressive regimes that with the true nature of Islam have nothing to do.",1
"The crucifixes are still present in schools, as well as in other public places, so I do not see the problem.",1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"Good evening, the main victims of the terrorist attacks are the inhabitants of Arab countries. For the most part, then, they are victims, not terrorists.",1
It's not just Muslims who rape women. The punishment that you propose does not seem effective to me. The judge of a court decides the real punishment for a rapist.,1
History is a bad teacher. Our job is not to repeat the mistakes that have been made previously. So why we must still perform these atrocities?,1
"There are Arab terrorists, as there are English terrorists, Italian and French. These stereotypes won't help us to fight terrorism.",1
"The problem lies in having a more open, secular and human mentality without blinders.",1
Words of wisdom learned on some pseudo-populist notice board?,1
The Arabs want to impose their religion and to rule in our home. They must be sent back to their house on boats.,0
I would prefer the Martians than these fucking Muslims.,0
I believe that the crucifix in school is a lack of respect for those who are not believers or have a different faith than Christianity.,1
There are very few mosques in Italy compared to the churches.,1
"The last bastion that we will have, will be the atomic bomb.",0
"I do not see which competition can exist between the churches and the mosques, we can go to one or the other according to our faith. They are not supermarkets that offer discounts.",1
The number of mosques is proportionate to the amount of Muslims in the area.,1
Even they have vaccines.,1
I notice deep anger against Muslims. Where does it come from?,1
Die islamic!,0
The highest number of rapes on Italian women is committed by Italians.,1
The Arabs are all terrorists and they want to conquer us with the violence and the bombs. We must respond with napalm.,0
"For Muslims, unlike us, religion matters, and they want to be able to practice it at appropriate places, without taking anything away from anyone.",1
"Hi, I think that even in a delicate time like this it is important not to confuse those who commit acts of violence and the religion itself, which in its instructions does not permit such acts.",1
These Islamic will bring us back to the Middle Age. We will starve to death and die of diseases that disappeared.,0
"You aren't ready to try to understand a not very different culture as Muslim, but you would be willing to accept willingly a Martian. Interesting point of view.",1
"From what source did you obtain this information? Can you send me the sources, please?",1
"An answer like that so indiscriminate seems not a solution to me to migration; people that arrive in Italy are not here to 'conquer' us, they come to try to have a better future.",1
"They began to build mosques everywhere, and so they compete with our churches.",0
The cultures can co-exist if there is the value of mutual respect.,1
